기간	자치구	세대	인구	인구	인구	인구	인구	인구	인구	인구	인구	인구밀도	인구밀도	세대당인구	65세이상고령자
기간	자치구	세대	합계	합계	합계	한국인	한국인	한국인	등록외국인	등록외국인	등록외국인	인구밀도	인구밀도	세대당인구	65세이상고령자
기간	자치구	세대	계	남자	여자	계	남자	여자	계	남자	여자	인구밀도(명/㎢)	면적(㎢)	세대당인구	65세이상고령자
1993	관악구	186,324	590,442	299,756	290,686	589,811	299,462	290,349	631	294	337	19,914	29.65	3.17	20,861
1993	서초구	127,335	410,719	203,981	206,738	407,993	202,552	205,441	2,726	1,429	1,297	8,680	47.32	3.23	17,383
1993	강남구	170,433	566,379	281,304	285,075	562,792	279,362	283,430	3,587	1,942	1,645	14,426	39.26	3.32	24,757
1993	송파구	210,844	685,260	341,403	343,857	683,439	340,497	342,942	1,821	906	915	20,310	33.74	3.25	26,266
1993	강동구	163,512	535,785	270,549	265,236	534,922	270,148	264,774	863	401	462	21,905	24.46	3.28	20,819
1994	합계	3,455,665	10,798,700	5,429,554	5,369,146	10,759,454	5,408,827	5,350,628	39,246	20,727	18,519	17,836	605.43	3.12	453,369
1994	종로구	73,798	214,930	107,877	107,053	213,187	106,942	106,245	1,743	935	808	8,989	23.92	2.91	12,712
1994	중구	55,032	156,302	79,110	77,192	153,901	77,690	76,211	2,401	1,420	981	15,677	9.97	2.84	8,913
1994	용산구	94,534	268,689	134,290	134,399	264,188	131,830	132,358	4,501	2,460	2,041	12,286	21.87	2.84	14,860
1994	성동구	244,808	753,072	382,753	370,319	750,814	381,520	369,294	2,258	1,233	1,025	22,221	33.89	3.08	29,570
1994	동대문구	146,186	443,027	224,533	218,494	442,068	224,075	217,993	959	458	501	31,199	14.2	3.03	19,615
1994	중랑구	141,855	457,749	230,709	227,040	457,347	230,522	226,825	402	187	215	24,716	18.52	3.23	16,539
1994	성북구	162,700	503,536	254,520	249,016	501,967	253,727	248,240	1,569	793	776	20,511	24.55	3.09	23,926
1994	도봉구	240,545	775,394	389,155	386,239	774,414	388,690	385,724	980	465	515	17,432	44.48	3.22	31,989
1994	노원구	182,015	589,582	292,659	296,923	588,757	292,232	296,525	825	427	398	16,613	35.49	3.24	25,895
1994	은평구	161,212	511,788	253,362	258,426	510,944	252,938	258,006	844	424	420	17,261	29.65	3.17	21,674
1994	서대문구	123,325	374,662	187,350	187,312	371,090	185,433	185,657	3,572	1,917	1,655	21,288	17.6	3.04	17,825
1994	마포구	138,685	412,484	206,014	206,470	410,571	204,998	205,573	1,913	1,016	897	17,280	23.87	2.97	19,781
1994	양천구	151,076	492,449	248,530	243,919	491,279	247,922	243,357	1,170	608	562	28,302	17.4	3.26	18,702
1994	강서구	157,418	508,345	254,121	254,224	507,409	253,636	253,773	936	485	451	12,276	41.41	3.23	20,872
1994	구로구	225,738	698,274	358,478	339,796	696,060	357,409	338,651	2,214	1,069	1,145	21,211	32.92	3.09	23,588
1994	영등포구	142,594	433,512	219,952	213,560	432,060	219,124	212,936	1,452	828	624	17,651	24.56	3.04	16,985
1994	동작구	144,123	440,651	222,206	218,445	439,699	221,713	217,986	952	493	459	26,951	16.35	3.06	18,867
1994	관악구	186,689	578,658	293,796	284,862	577,977	293,459	284,519	681	337	344	19,569	29.57	3.1	21,075
1994	서초구	131,546	412,315	204,524	207,791	409,161	202,848	206,313	3,154	1,676	1,478	8,735	47.2	3.13	17,742
1994	강남구	177,641	572,311	283,965	288,346	568,498	281,909	286,589	3,813	2,056	1,757	14,471	39.55	3.22	25,087
1994	송파구	212,950	680,067	338,608	341,459	678,019	337,556	340,463	2,048	1,052	996	20,067	33.89	3.19	26,471
1994	강동구	161,195	520,903	263,042	257,861	520,044	262,654	257,390	859	388	471	21,192	24.58	3.23	20,681
1995	합계	3,448,124	10,595,943	5,326,022	5,269,921	10,550,871	5,302,277	5,248,594	45,072	23,745	21,327	17,491	605.78	3.07	458,918
1995	종로구	72,488	204,733	102,852	101,881	203,086	101,960	101,126	1,647	892	755	8,559	23.92	2.82	12,624
1995	중구	53,096	145,646	73,608	72,038	143,138	72,132	71,006	2,508	1,476	1,032	14,608	9.97	2.74	8,847
1995	용산구	93,163	260,993	130,403	130,590	254,579	126,809	127,770	6,414	3,594	2,820	11,934	21.87	2.8	15,125
1995	성동구	113,262	342,648	174,128	168,520	341,582	173,541	168,041	1,066	587	479	20,347	16.84	3.03	15,036
1995	광진구	129,613	391,148	198,273	192,875	389,920	197,652	192,268	1,228	621	607	22,941	17.05	3.02	14,859
1995	동대문구	141,352	420,069	212,978	207,091	418,985	212,458	206,527	1,084	520	564	29,582	14.02	2.97	19,398
1995	중랑구	142,869	454,951	229,048	225,903	454,534	228,850	225,684	417	198	219	24,565	18.52	3.18	17,130
1995	성북구	163,304	497,614	251,559	246,055	495,737	250,603	245,134	1,877	956	921	20,269	24.55	3.05	24,537
1995	강북구	124,571	395,078	197,924	197,154	394,548	197,679	196,869	530	245	285	16,734	23.61	3.17	16,992
1995	도봉구	117,150	374,271	188,030	186,241	373,630	187,722	185,908	641	308	333	17,942	20.86	3.19	15,637
1995	노원구	185,912	599,462	297,320	302,142	598,529	296,838	301,691	933	482	451	16,891	35.49	3.22	26,969
1995	은평구	161,512	503,272	249,383	253,889	502,310	248,884	253,426	962	499	463	16,939	29.71	3.12	22,036
1995	서대문구	125,996	371,449	185,556	185,893	367,318	183,348	183,970	4,131	2,208	1,923	21,105	17.6	2.95	18,413
1995	마포구	136,891	400,409	199,823	200,586	398,228	198,665	199,563	2,181	1,158	1,023	16,775	23.87	2.93	19,973
1995	양천구	150,868	487,130	245,734	241,396	485,777	245,022	240,755	1,353	712	641	27,996	17.4	3.23	19,038
1995	강서구	165,058	523,606	261,503	262,103	522,409	260,888	261,521	1,197	615	582	12,644	41.41	3.17	22,066
1995	구로구	124,797	383,224	196,935	186,289	382,207	196,439	185,768	1,017	496	521	19,019	20.15	3.07	13,884
1995	금천구	94,341	284,609	146,001	138,608	283,089	145,344	137,745	1,520	657	863	21,759	13.08	3.02	9,616
1995	영등포구	140,305	417,914	211,982	205,932	416,050	210,924	205,126	1,864	1,058	806	17,016	24.56	2.98	17,176
1995	동작구	145,265	436,684	220,287	216,397	435,601	219,727	215,874	1,083	560	523	26,709	16.35	3.01	19,276
1995	관악구	183,849	558,462	283,658	274,804	557,653	283,279	274,374	809	379	430	18,886	29.57	3.04	20,959
1995	서초구	131,800	407,887	202,273	205,614	404,918	200,714	204,204	2,969	1,559	1,410	8,644	47.19	3.09	17,947
1995	강남구	179,387	559,032	277,480	281,552	554,573	275,106	279,467	4,459	2,374	2,085	14,135	39.55	3.12	24,483
1995	송파구	212,400	669,042	333,328	335,714	666,806	332,168	334,638	2,236	1,160	1,076	19,742	33.89	3.15	26,466
1995	강동구	158,875	506,610	255,956	250,654	505,664	255,525	250,139	946	431	515	20,611	24.58	3.19	20,431
1996	합계	3,456,575	10,469,852	5,258,247	5,211,605	10,418,076	5,231,039	5,187,037	51,776	27,208	24,568	17,289	605.58	3.03	467,766
1996	종로구	72,027	199,475	100,075	99,400	197,563	99,067	98,496	1,912	1,008	904	8,339	23.92	2.77	12,876
1996	중구	50,141	134,839	68,090	66,749	132,189	66,538	65,651	2,650	1,552	1,098	13,524	9.97	2.69	8,610
1996	용산구	92,705	255,024	127,321	127,703	247,694	123,294	124,400	7,330	4,027	3,303	11,661	21.87	2.75	15,400
1996	성동구	110,970	331,206	168,073	163,133	329,914	167,374	162,540	1,292	699	593	19,668	16.84	2.98	15,102
1996	광진구	132,324	392,217	198,786	193,431	390,739	198,026	192,713	1,478	760	718	23,004	17.05	2.96	15,327
1996	동대문구	136,771	399,280	202,162	197,118	398,060	201,576	196,484	1,220	586	634	28,079	14.22	2.92	19,389
1996	중랑구	152,349	478,390	240,512	237,878	477,850	240,260	237,590	540	252	288	25,817	18.53	3.14	18,694
1996	성북구	162,195	487,404	245,926	241,478	485,240	244,847	240,393	2,164	1,079	1,085	19,854	24.55	3.01	24,843
1996	강북구	121,348	379,695	189,901	189,794	379,062	189,612	189,450	633	289	344	16,102	23.58	3.13	17,066
1996	도봉구	119,881	382,424	191,956	190,468	381,465	191,531	189,934	959	425	534	18,350	20.84	3.19	16,304
1996	노원구	182,025	586,997	290,909	296,088	585,907	290,354	295,553	1,090	555	535	16,554	35.46	3.22	27,357
1996	은평구	162,474	498,532	247,166	251,366	497,417	246,605	250,812	1,115	561	554	16,780	29.71	3.07	22,668
1996	서대문구	127,125	366,134	182,525	183,609	361,529	180,104	181,425	4,605	2,421	2,184	20,803	17.6	2.88	18,804
1996	마포구	137,591	393,040	195,689	197,351	390,831	194,525	196,306	2,209	1,164	1,045	16,466	23.87	2.86	20,338
1996	양천구	151,955	486,839	245,520	241,319	485,497	244,806	240,691	1,342	714	628	27,963	17.41	3.2	19,569
1996	강서구	167,739	524,006	261,657	262,349	522,640	260,946	261,694	1,366	711	655	12,657	41.4	3.12	22,690
1996	구로구	124,734	378,676	194,452	184,224	377,391	193,816	183,575	1,285	636	649	18,821	20.12	3.04	14,318
1996	금천구	92,406	273,867	140,227	133,640	271,718	139,214	132,504	2,149	1,013	1,136	21,067	13	2.96	9,674
1996	영등포구	138,663	408,087	206,994	201,093	405,326	205,383	199,943	2,761	1,611	1,150	16,616	24.56	2.94	17,634
1996	동작구	145,735	434,873	219,096	215,777	433,608	218,457	215,151	1,265	639	626	26,598	16.35	2.98	19,843
1996	관악구	181,947	543,314	275,959	267,355	542,325	275,499	266,826	989	460	529	18,374	29.57	2.99	21,093
1996	서초구	135,209	408,781	202,861	205,920	405,743	201,220	204,523	3,038	1,641	1,397	8,672	47.14	3.02	18,113
1996	강남구	184,039	557,533	276,434	281,099	552,768	273,817	278,951	4,765	2,617	2,148	14,097	39.55	3.03	24,518
1996	송파구	216,205	671,560	334,513	337,047	668,987	333,209	335,778	2,573	1,304	1,269	19,816	33.89	3.11	27,007
1996	강동구	158,017	497,659	251,443	246,216	496,613	250,959	245,654	1,046	484	562	20,247	24.58	3.15	20,529
1997	합계	3,498,506	10,389,057	5,214,266	5,174,791	10,336,134	5,186,530	5,149,604	52,923	27,736	25,187	17,157	605.52	2.97	485,347
1997	종로구	72,919	196,611	98,650	97,961	194,696	97,646	97,050	1,915	1,004	911	8,220	23.92	2.7	13,285
1997	중구	49,516	129,680	65,501	64,179	126,892	63,926	62,966	2,788	1,575	1,213	13,007	9.97	2.62	8,870
1997	용산구	91,201	245,683	122,648	123,035	238,304	118,601	119,703	7,379	4,047	3,332	11,234	21.87	2.69	15,767
1997	성동구	111,887	326,026	165,350	160,676	324,615	164,551	160,064	1,411	799	612	19,360	16.84	2.91	15,756
1997	광진구	136,909	397,824	200,858	196,966	396,580	200,256	196,324	1,244	602	642	23,333	17.05	2.91	16,030
1997	동대문구	136,360	389,281	197,181	192,100	388,172	196,642	191,530	1,109	539	570	27,376	14.22	2.85	20,156
1997	중랑구	154,699	475,662	239,097	236,565	475,089	238,830	236,259	573	267	306	25,698	18.51	3.07	19,512
1997	성북구	162,586	478,812	241,471	237,341	476,502	240,325	236,177	2,310	1,146	1,164	19,504	24.55	2.94	25,661
1997	강북구	119,941	368,412	183,966	184,446	367,787	183,687	184,100	625	279	346	15,624	23.58	3.07	17,493
1997	도봉구	123,055	388,620	194,957	193,663	387,808	194,627	193,181	812	330	482	18,657	20.83	3.16	17,372
1997	노원구	183,891	587,428	290,756	296,672	586,284	290,171	296,113	1,144	585	559	16,566	35.46	3.19	28,688
1997	은평구	163,671	491,677	243,817	247,860	490,500	243,235	247,265	1,177	582	595	16,555	29.7	3	23,607
